"","X","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
"X",1,-0.268483919902731,-0.00881509898281345,-0.153551355211953,-0.0312608346164358,-0.11986851911767,0.0904796430953397,-0.117849669431357,-0.368372087178486,0.136005328183866,-0.125306999278118,0.245122840623428,0.0664526083970857
"fixed.acidity",-0.268483919902731,1,-0.256130894770382,0.671703434764102,0.114776724494921,0.0937051863213051,-0.153794192864824,-0.113181443045481,0.668047292118972,-0.68297819456853,0.183005663932154,-0.0616682706281508,0.124051649113224
"volatile.acidity",-0.00881509898281345,-0.256130894770382,1,-0.552495684559583,0.00191788196279075,0.0612977724764617,-0.0105038270065919,0.0764700048209285,0.0220262321952158,0.234937294407394,-0.260986685283291,-0.202288027153256,-0.39055778026401
"citric.acid",-0.153551355211953,0.671703434764102,-0.552495684559583,1,0.143577161570314,0.203822913829042,-0.0609781291923049,0.0355330239311615,0.364947175211251,-0.54190414473951,0.312770043854417,0.109903246641567,0.226372514318043
"residual.sugar",-0.0312608346164358,0.114776724494921,0.00191788196279075,0.143577161570314,1,0.0556095352035321,0.187048995104287,0.203027881697102,0.355283370983377,-0.0856524222188716,0.00552712133913827,0.0420754372097311,0.0137316373400664
"chlorides",-0.11986851911767,0.0937051863213051,0.0612977724764617,0.203822913829042,0.0556095352035321,1,0.0055621470047811,0.0474004682590753,0.200632326641512,-0.265026131173227,0.371260481285428,-0.221140544788283,-0.128906559930053
"free.sulfur.dioxide",0.0904796430953397,-0.153794192864824,-0.0105038270065919,-0.0609781291923049,0.187048995104287,0.0055621470047811,1,0.667666450481021,-0.0219458311634891,0.0703774985049419,0.0516575718428285,-0.0694083535649998,-0.0506560572442761
"total.sulfur.dioxide",-0.117849669431357,-0.113181443045481,0.0764700048209285,0.0355330239311615,0.203027881697102,0.0474004682590753,0.667666450481021,1,0.0712694762031033,-0.066494559012856,0.0429468362395384,-0.205653943743671,-0.185100288926539
"density",-0.368372087178486,0.668047292118972,0.0220262321952158,0.364947175211251,0.355283370983377,0.200632326641512,-0.0219458311634891,0.0712694762031033,1,-0.34169933478503,0.148506411720786,-0.496179770241702,-0.174919227783349
"pH",0.136005328183866,-0.68297819456853,0.234937294407394,-0.54190414473951,-0.0856524222188716,-0.265026131173227,0.0703774985049419,-0.066494559012856,-0.34169933478503,1,-0.196647602304371,0.205632508505498,-0.0577313912053822
"sulphates",-0.125306999278118,0.183005663932154,-0.260986685283291,0.312770043854417,0.00552712133913827,0.371260481285428,0.0516575718428285,0.0429468362395384,0.148506411720786,-0.196647602304371,1,0.0935947504104677,0.251397079069263
"alcohol",0.245122840623428,-0.0616682706281508,-0.202288027153256,0.109903246641567,0.0420754372097311,-0.221140544788283,-0.0694083535649998,-0.205653943743671,-0.496179770241702,0.205632508505498,0.0935947504104677,1,0.476166324001138
"quality",0.0664526083970857,0.124051649113224,-0.39055778026401,0.226372514318043,0.0137316373400664,-0.128906559930053,-0.0506560572442761,-0.185100288926539,-0.174919227783349,-0.0577313912053822,0.251397079069263,0.476166324001138,1
